Campaign,Asset Group,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Long headline 1,Long headline 2,Long headline 3,Long headline 4,Long headline 5,Description 1,Description 2,Description 3,Description 4,Description 5,Call to action,Business name,Video ID 1,Video ID 2,Video ID 3,Video ID 4,Video ID 5,Path 1,Path 2,Final URL,Final mobile URL,Audience signal,Age demographic,Gender demographic,Income demographic,Parental status demographic,Remarketing audience segments,Interest categories,Life events,Custom audience segments,Detailed demographics,Ad Group,Product Group,Max CPC,Product Group Type
SMY | UK | P Max | H&S Christmas Gifting,Christmas Gifting,Luxury Christmas Gifts,Smythson Leather Gifts,Smythson Gifts for Him and Her,Over 135 Years of Craft,Handcrafted Leather Gifts,Free Delivery On Orders £300+,Luxury Stocking Fillers,Elegant Luxury Leather Gifts,Shop Smythson Christmas Gifts,Luxury Gifts They’ll Treasure,Luxury Gifts Delivered Fast,Smythson of Bond Street™,Iconic Leather Gift Collection,Perfect Christmas Presents,Celebrate with Smythson Gifts,Celebrate the season with Smythson’s luxury leather gifts - elegant and expertly crafted.,Discover handcrafted leather presents from Smythson - perfect for Christmas and occasions.,Smythson’s luxury leather collection makes every festive moment unforgettable.,Shop Smythson Christmas gifts - heritage craftsmanship that your loved ones will treasure.,"Shop Smythson Luxury Christmas gifts, expertly crafted to delight those you treasure most.","Shop Smythson Christmas gifts - handcrafted leather, timeless style, effortless luxury.",Discover luxury leather gifts for him and her - perfect for the festive season.,Give timeless presents with Smythson’s Christmas gift collection.,"Elegant leather gifts, expertly crafted with over 135 years of heritage.",Curated Gifts for Loved Ones.,Shop now,,HckdlWEj2sw,vpmqKyW5_-8,kQCkDDCrPjY,,,,,https://www.smythson.com/uk/christmas.html,,Christmas gifting
SMY | UK | P Max | H&S Christmas Gifting,Christmas Gifting for Him,Luxury Christmas Gifts For Him,Premium Men's Luxury Items,Meaningful Christmas Presents,British Heritage Craftsmanship,Smythson Christmas Selection,Smythson Personalised Gifts,Smythson Executive Collection,Discover Perfect Presents Now,Shop Executive Accessories,Gifts We Know He'll Treasure,More Than Just A Present,Crafted For The Discerning Man,Mid-Size Diaries & Planners,Crossbody Bags & Laptop Cases,Celebrate with Smythson Gifts,Smythson's luxury leather goods represent over 135 years of British craftsmanship.,Experience Bond Street quality with Smythson's handcrafted Christmas collection.,Shop our curated edit of Christmas gifts designed specifically for discerning men.,Discover meaningful gifts that combine British heritage with contemporary elegance.,Where British heritage meets modern sophistication in every handcrafted detail.,Handcrafted leather accessories and luxury stationery make perfect Christmas gifts.,British luxury meets contemporary design in every Smythson handcrafted accessory.,Browse handcrafted leather goods and find his perfect personalised gift today.,Because extraordinary men deserve gifts as distinctive and memorable as they are.,"Shop crossbody bags, passport covers, luggage tags and executive washbags now.",Shop now,,HckdlWEj2sw,vpmqKyW5_-8,kQCkDDCrPjY,,,,,https://www.smythson.com/uk/gifts/gifts-for-him,,Christmas gifting
SMY | UK | P Max | New Customers H&S 230,Heroes & Sidekicks,Smythson of Bond Street™,Luxury Leather Craftsmanship,Over 130 Years Of Expertise,Enjoy Complimentary Returns,Personalisation Available,Explore Our New Collection,Timeless British Design,"Shop Bags, Stationery & More",Free Delivery On Orders £300+,Autumn & Winter collection,Iconic Stationery & Gifts,Discover Smythson Today,Luxury Leather & Paper,British Craft Since 1887,Crafted for Modern Life,Icons Handcrafted The Same Storied Way Since 1887. Discover The New Collection Now.,"Crafting stories for over 135 years, designed to celebrate the joy of the handwritten",Explore Our New Arrivals Collection - Signature Luxury Leather Bags & Accessories.,Smythson's New Autmn & Winter collection - Discover Now.,"From notebooks to handbags, explore design that celebrates quiet luxury.",Smythson's New Autmn & Winter collection - Discover Now.,"From notebooks to handbags, explore design that celebrates quiet luxury.","Crafting stories for over 135 years, designed to celebrate the joy of the handwritten",Explore Our New Arrivals Collection - Signature Luxury Leather Bags & Accessories.,Icons Handcrafted The Same Storied Way Since 1887. Discover The New Collection Now.,Shop now,,O3Cb4aqwVjQ,FksOTQ8edq8,4D5YQe4RIj0,2TFh16iD0r8,fcySG2hd8_k,,,https://www.smythson.com/uk/new-arrivals,,Diaries 2025
SMY | UK | P Max | New Customers H&S 230,Remarketing,Smythson of Bond Street™,Luxury Leather Craftsmanship,Over 130 Years Of Expertise,Enjoy Complimentary Returns,Personalisation Available,Explore Our New Collection,Timeless British Design,"Shop Bags, Stationery & More",Free Delivery On Orders £300+,Autumn & Winter collection,Iconic Stationery & Gifts,Discover Smythson Today,Luxury Leather & Paper,British Craft Since 1887,Crafted for Modern Life,Icons Handcrafted The Same Storied Way Since 1887. Discover The New Collection Now.,"Crafting stories for over 135 years, designed to celebrate the joy of the handwritten",Explore Our New Arrivals Collection - Signature Luxury Leather Bags & Accessories.,Smythson's New Autmn & Winter collection - Discover Now.,"From notebooks to handbags, explore design that celebrates quiet luxury.",Smythson's New Autmn & Winter collection - Discover Now.,"From notebooks to handbags, explore design that celebrates quiet luxury.","Crafting stories for over 135 years, designed to celebrate the joy of the handwritten",Explore Our New Arrivals Collection - Signature Luxury Leather Bags & Accessories.,Icons Handcrafted The Same Storied Way Since 1887. Discover The New Collection Now.,Shop now,,O3Cb4aqwVjQ,FksOTQ8edq8,4D5YQe4RIj0,2TFh16iD0r8,fcySG2hd8_k,,,https://www.smythson.com/uk/new-arrivals,,Remarketing Rok
UK - shopping - Pmax - diaries,Diary Launch,Smythson of Bond Street™,Shop 2024 Leather Diaries,The 2024 Diary Collection,Discover Our 2024 Diaries,Diaries for a Colourful Life,,,,,,,,,,,"Shop 2024 Diary Collection. Awash with New Striking Shades, Add Colour to Every Moment.","As Vibrant as the Lives Ready to Fill them, Begin a Colourful Life with a Smythson Diary.",Fill Our Featherweight Pages with Your Colourful Life. Shop Now.,Luxury Leather Diaries Handcrafted in England. Find a 2024 Diary That Suits You.,A Life Full of Colour is a Life Full of Wonder. Explore Smythson's 2024 Diary Collection.,Fill Our Featherweight Pages with Your Colourful Life.,"Shop 2024 Diary Collection. Awash with New Striking Shades, Add Colour to Every Moment.","As Vibrant as the Lives Ready to Fill them, Begin a Colourful Life with a Smythson Diary.",Fill Our Featherweight Pages with Your Colourful Life. Shop Now.,"With an Array of Sizes, Layouts and New Season Hues, Shop Our New Diary Collection",,,fcySG2hd8_k,AvkCBHwaDx8,,,,,,https://www.smythson.com/uk/diaries-books,,All audiences combined
UK - shopping - PMax - Higher Priced Products,Catch -all,Smythson of Bond Street™,Bound in Britain,Spring Summer 2024 Collection,Quintessential British Luxury,Over 135 Years of Expertise,Luxury Leather Craftsmanship,Our New Collection Unfurls,,,,,,,,,Smythson’s Bookbinding Techniques Remain Relatively Unchanged For Over 130 Years.,"Shop Bags, Accessories, Stationery and Home Pieces in Our Spring Summer 2024 Collection.",Spring Is Here. This Season's New Clover Hue Is Inspired By The Richness Of Nature.,Vivid Shades of Green Mark The Change Of The Season. Our Spring Summer Collection is Here.,"Over 130 Years Of Crafting Luxury Leather Bags, Accessories, Notebooks, and Stationery.",Discover Our Spring Summer 2024 Collection,Smythson’s Bookbinding Techniques Remain Relatively Unchanged For Over 130 Years.,"Shop Bags, Accessories, Stationery and Home Pieces in Our Spring Summer 2024 Collection.",Spring Is Here. This Season's New Clover Hue Is Inspired By The Richness Of Nature.,Vivid Shades of Green Mark The Change Of The Season. Our Spring Summer Collection is Here.,,,fcySG2hd8_k,AvkCBHwaDx8,,,,,,https://www.smythson.com/uk/christmas-gifts,,Mixed audiences - New
UK - shopping - PMax - Seasonal Products,Cards and Invitations,Smythson of Bond Street™,Bound in Britain,Spring Summer 2024 Collection,Quintessential British Luxury,Over 135 Years of Expertise,Luxury Leather Craftsmanship,Our New Collection Unfurls,,,,,,,,,Smythson’s Bookbinding Techniques Remain Relatively Unchanged For Over 130 Years.,"Shop Bags, Accessories, Stationery and Home Pieces in Our Spring Summer 2024 Collection.",Spring Is Here. This Season's New Clover Hue Is Inspired By The Richness Of Nature.,Vivid Shades of Green Mark The Change Of The Season. Our Spring Summer Collection is Here.,"Over 130 Years Of Crafting Luxury Leather Bags, Accessories, Notebooks, and Stationery.",Discover Our Spring Summer 2024 Collection,Smythson’s Bookbinding Techniques Remain Relatively Unchanged For Over 130 Years.,"Shop Bags, Accessories, Stationery and Home Pieces in Our Spring Summer 2024 Collection.",Spring Is Here. This Season's New Clover Hue Is Inspired By The Richness Of Nature.,Vivid Shades of Green Mark The Change Of The Season. Our Spring Summer Collection is Here.,,,fcySG2hd8_k,AvkCBHwaDx8,,,,,,https://www.smythson.com/uk/stationery/cards,,,,,,,Christmas Cards (All Visitors);Christmas Card Purchasers;CRM DATA LIST;GG - Christmas Visitors - (0 - 540);UK Master List July 23,Seasonal Shopping;Seasonal Shopping>Christmas Shopping>In-Store Christmas Shopping;Travel>Travel Buffs>Luxury Travelers;Travel>Business Travelers;Gifts & Occasions>Holiday Items & Decorations>Christmas Items & Decor;Gifts & Occasions>Gift Baskets;Shoppers>Luxury Shoppers;Vehicles & Transportation>Auto Enthusiasts>Performance & Luxury Vehicle Enthusiasts;Gifts & Occasions;Seasonal Shopping>Christmas Shopping>Online Christmas Shopping;Gifts & Occasions>Personalized Gifts;Gifts & Occasions>Holiday Items & Decorations;Seasonal Shopping>Christmas Shopping,,Greeting Cards;Holiday Greeting Cards;Selfridges
UK - shopping - PMax - Seasonal Products,Catch -all,Smythson of Bond Street™,Bound in Britain,Spring Summer 2024 Collection,Quintessential British Luxury,Over 135 Years of Expertise,Luxury Leather Craftsmanship,Our New Collection Unfurls,,,,,,,,,Smythson’s Bookbinding Techniques Remain Relatively Unchanged For Over 130 Years.,"Shop Bags, Accessories, Stationery and Home Pieces in Our Spring Summer 2024 Collection.",Spring Is Here. This Season's New Clover Hue Is Inspired By The Richness Of Nature.,Vivid Shades of Green Mark The Change Of The Season. Our Spring Summer Collection is Here.,"Over 130 Years Of Crafting Luxury Leather Bags, Accessories, Notebooks, and Stationery.",Discover Our Spring Summer 2024 Collection,Smythson’s Bookbinding Techniques Remain Relatively Unchanged For Over 130 Years.,"Shop Bags, Accessories, Stationery and Home Pieces in Our Spring Summer 2024 Collection.",Spring Is Here. This Season's New Clover Hue Is Inspired By The Richness Of Nature.,Vivid Shades of Green Mark The Change Of The Season. Our Spring Summer Collection is Here.,,,fcySG2hd8_k,AvkCBHwaDx8,,,,,,https://www.smythson.com/
UK - shopping - PMax - Seasonal Products,Gift Cards,Smythson of Bond Street™,Bound in Britain,Uncover Our Latest Collection,Quintessential British Luxury,Over 135 Years of Expertise,Luxury Leather Craftsmanship,Spring Summer 2024 Collection,Our New Collection Unfurls,,,,,,,,Smythson’s Bookbinding Techniques Remain Relatively Unchanged For Over 130 Years.,"Shop Bags, Accessories, Stationery and Home Pieces in Our Spring Summer 2024 Collection.",Spring Is Here. This Season's New Clover Hue Is Inspired By The Richness Of Nature.,Vivid Shades of Green Mark The Change Of The Season. Our Spring Summer Collection is Here.,"Over 130 Years Of Crafting Luxury Leather Bags, Accessories, Notebooks, and Stationery.",Discover Our Spring Summer 2024 Collection,Smythson’s Bookbinding Techniques Remain Relatively Unchanged For Over 130 Years.,Spring Is Here. This Season's New Clover Hue Is Inspired By The Richness Of Nature.,Vivid Shades of Green Mark The Change Of The Season. Our Spring Summer Collection is Here.,"Over 130 Years Of Crafting Luxury Leather Bags, Accessories, Notebooks, and Stationery.",,,fcySG2hd8_k,AvkCBHwaDx8,,,,,,https://www.smythson.com/uk/gifts/gifts-for-all-occasions/gift-cards,,,,,,,CRM DATA LIST;GG - Visitors - Gift For Her;GG - Visitors - Gift For Him;UK Master List July 23,Shoppers>Shopping Enthusiasts;Seasonal Shopping;Seasonal Shopping>Christmas Shopping>In-Store Christmas Shopping;Travel>Travel Buffs>Luxury Travelers;Travel>Business Travelers;Gifts & Occasions>Gift Baskets;Shoppers>Luxury Shoppers;Vehicles & Transportation>Auto Enthusiasts>Performance & Luxury Vehicle Enthusiasts;Gifts & Occasions;Gifts & Occasions>Personalized Gifts;Seasonal Shopping>Christmas Shopping,,Thank You Gift;Gift Sending;Personalized Gifts;Gift Baskets;Prepaid Gift Cards;Selfridges
UK - shopping - PMax - Seasonal Products,Home - Games,Smythson of Bond Street™,Bound in Britain,Uncover Our Latest Collection,Quintessential British Luxury,Over 135 Years of Expertise,Luxury Leather Craftsmanship,Spring Summer 2024 Collection,Our New Collection Unfurls,,,,,,,,Smythson’s Bookbinding Techniques Remain Relatively Unchanged For Over 130 Years.,"Shop Bags, Accessories, Stationery and Home Pieces in Our Spring Summer 2024 Collection.",Spring Is Here. This Season's New Clover Hue Is Inspired By The Richness Of Nature.,Vivid Shades of Green Mark The Change Of The Season. Our Spring Summer Collection is Here.,"Over 130 Years Of Crafting Luxury Leather Bags, Accessories, Notebooks, and Stationery.",Discover Our Spring Summer 2024 Collection,Smythson’s Bookbinding Techniques Remain Relatively Unchanged For Over 130 Years.,Spring Is Here. This Season's New Clover Hue Is Inspired By The Richness Of Nature.,Vivid Shades of Green Mark The Change Of The Season. Our Spring Summer Collection is Here.,"Over 130 Years Of Crafting Luxury Leather Bags, Accessories, Notebooks, and Stationery.",,,fcySG2hd8_k,AvkCBHwaDx8,,,,,,https://www.smythson.com/uk/home/accessories/games,,,,,,,CRM DATA LIST;UK Master List July 23,Home & Garden>Home Decor Enthusiasts;Travel>Travel Buffs>Luxury Travelers;Travel>Business Travelers;Shoppers>Luxury Shoppers;Vehicles & Transportation>Auto Enthusiasts>Performance & Luxury Vehicle Enthusiasts;Media & Entertainment>Board Games,,Selfridges;Board Games;Chess,Homeownership Status>Homeowners
UK - shopping - PMax - Seasonal Products,Home Accessories,Smythson of Bond Street™,Bound in Britain,Uncover Our Latest Collection,Quintessential British Luxury,Over 135 Years of Expertise,Luxury Leather Craftsmanship,Spring Summer 2024 Collection,Our New Collection Unfurls,,,,,,,,Smythson’s Bookbinding Techniques Remain Relatively Unchanged For Over 130 Years.,"Shop Bags, Accessories, Stationery and Home Pieces in Our Spring Summer 2024 Collection.",Spring Is Here. This Season's New Clover Hue Is Inspired By The Richness Of Nature.,Vivid Shades of Green Mark The Change Of The Season. Our Spring Summer Collection is Here.,"Over 130 Years Of Crafting Luxury Leather Bags, Accessories, Notebooks, and Stationery.",Discover Our Spring Summer 2024 Collection,Smythson’s Bookbinding Techniques Remain Relatively Unchanged For Over 130 Years.,Spring Is Here. This Season's New Clover Hue Is Inspired By The Richness Of Nature.,Vivid Shades of Green Mark The Change Of The Season. Our Spring Summer Collection is Here.,"Over 130 Years Of Crafting Luxury Leather Bags, Accessories, Notebooks, and Stationery.",,,fcySG2hd8_k,AvkCBHwaDx8,,,,,,https://www.smythson.com/uk/home,,,,,,,CRM DATA LIST;GG - Jewellery Boxes - (0 -540);GG - Stationery - (0 - 540);GG - Plain Stationery - (0 -540);UK Master List July 23,Home & Garden>Home Decor Enthusiasts;Travel>Travel Buffs>Luxury Travelers;Shoppers>Luxury Shoppers;Vehicles & Transportation>Auto Enthusiasts>Performance & Luxury Vehicle Enthusiasts;Apparel & Accessories>Jewelry & Watches;Apparel & Accessories>Jewelry & Watches>Fine Jewelry,,Luxury Watches;Jewelry Boxes;Desk Accessories;Designer Jewelry;Selfridges;Rolex Watches,Homeownership Status>Homeowners
UK_Performance_Max_Best_Sellers,Catch All (BAU),Smythson of Bond Street™,Bound in Britain,New 2024 Collection,Quintessential British Luxury,Over 135 Years of Expertise,Luxury Leather Craftsmanship,Our New Collection Unfurls,Small Leather Goods,,,,,,,,Smythson’s Bookbinding Techniques Remain Relatively Unchanged For Over 130 Years.,"Shop Bags, Accessories, Stationery and Home Pieces in Our New 2024 Collection.",Vivid Shades of Green Mark The Change Of The Season.,"Over 130 Years Of Crafting Luxury Leather Bags, Accessories, Notebooks, and Stationery.",,Discover Our New 2024 Collection,Smythson’s Bookbinding Techniques Remain Relatively Unchanged For Over 130 Years.,"Shop Bags, Accessories, Stationery and Home Pieces in Our New 2024 Collection.",Vivid Shades of Green Mark The Change Of The Season.,"Over 130 Years Of Crafting Luxury Leather Bags, Accessories, Notebooks, and Stationery.",Shop now,Smythson,fcySG2hd8_k,AvkCBHwaDx8,,,,,,https://www.smythson.com/uk,,Mixed audiences - New
